Competition ID,Competition Name,Region
39218,AFC Champions League,International
12276605,AFC Ladies Asian Cup,International
4215067,Algerian Cup,DZA
7511144,Argentinian Primera C,ARG
67387,Argentinian Primera Division,ARG
803237,Argentinian Primera Nacional,ARG
12117172,Australian A-League Men,AUS
10479956,Austrian Bundesliga,AUT
12204202,Austrian Cup,AUT
9,Austrian Erste Liga,AUT
1436284,Azerbaijan Cup,AZE
89979,Belgian Pro League,BEL
3127357,Bosnian Premier League,BIH
12164283,Brazilian Carioca Matches,BRA
12184051,Brazilian Gaucho Matches,BRA
2490975,Brazilian Paulista Serie A1,BRA
13,Brazilian Serie A,BRA
321319,Brazilian Serie B,BRA
15,Bulgarian A League,BGR
12416961,CONCACAF U20 Cup Qualifiers,International
12147796,CONMEBOL Copa Libertadores,International
12204604,CONMEBOL Copa Sudamericana,International
857992,Chilean Primera B,CHL
744098,Chilean Primera Division,CHL
879931,Chinese Super League,CHN
844197,Colombian Primera A,COL
856134,Colombian Primera B,COL
3039445,Costa Rican Liga de Ascenso,CRI
2079376,Costa Rican Primera Division,CRI
12226103,Croatian Cup,HRV
17,Croatian HNL,HRV
3992967,Croatian Prva NL,HRV
12204204,Czech 1 Liga,CZE
12227137,Czech Cup,CZE
19513,Dutch Cup,NLD
11,Dutch Eerste Divisie,NLD
9404054,Dutch Eredivisie,NLD
9882094,EFL Trophy,GBR
803690,Ecuadorian Serie A,ECU
801976,Egyptian Premier,EGY
30558,English FA Cup,GBR
2134,English Football League Cup,GBR
11086347,English National League,GBR
41,English National League North,GBR
43,English National League South,GBR
10932509,English Premier League,GBR
12199685,English Premier League 2 - Div 1,GBR
7129730,English Sky Bet Championship,GBR
35,English Sky Bet League 1,GBR
37,English Sky Bet League 2,GBR
12511339,English U21 Pro Development League,GBR
11869656,Ethiopian Premier League,ETH
12386458,FIFA Ladies World Cup Qualifiers,International
12469077,FIFA World Cup,International
12209560,French Cup,FRA
55,French Ligue 1,FRA
57,French Ligue 2,FRA
12200369,Friendlies Women's International,International
11591693,German 3 Liga,DEU
59,German Bundesliga,DEU
61,German Bundesliga 2,DEU
67,Greek Super League,GRC
6566654,Guatemalan Liga Nacional,GTM
12202271,Honduras Liga Nacional,HND
11503700,Hungarian Cup,HUN
4556576,Hungarian NB II,HUN
6251219,Indian Super League,IND
822951,Indonesian Super League,IDN
12203971,Irish Premier Division,IRL
12201574,Italian Campionato Primavera,ITA
12214429,Italian Coppa Italia,ITA
81,Italian Serie A,ITA
12199689,Italian Serie B,ITA
12199513,Italian Serie C,ITA
3796898,Jamaican Premier League,JAM
12782082,Japanese J. League 100 Year Vision,JPN
12200652,Jordanian Premier League,JOR
12299665,Mauritanian Ligue 1,MRT
5627174,Mexican Liga MX,MEX
8770515,Mexican Liga Premier,MEX
12760886,Mexican Liga de Ascenso,MEX
12074058,Moldovan Cup,MDA
4051,Norwegian Cup,NOR
3972877,Panamanian Premier League,PAN
839575,Paraguayan Primera Division,PRY
11993322,Paraguayan Reserves,PRY
10854877,Polish Cup,POL
97,Polish Ekstraklasa,POL
12218844,Portuguese Cup,PRT
99,Portuguese Primeira Liga,PRT
9513,Portuguese Segunda Liga,PRT
12209621,Portuguese U23,PRT
842258,Qatari Stars League,QAT
12221864,Romanian Cup,ROU
4905,Romanian Liga I,ROU
2315454,Saudi 1st Division,SAU
12209405,Saudi Professional League,SAU
107,Scottish Championship,GBR
12206708,Scottish FA Cup,GBR
109,Scottish League One,GBR
111,Scottish League Two,GBR
105,Scottish Premiership,GBR
97855,Slovakian Cup,SVK
12013300,Slovakian Super League,SVK
115,Slovenian Premier League,SVN
10699940,South African Premier Division,ZAF
12395641,South Korean K2 League,KOR
12801,Spanish Copa del Rey,ESP
117,Spanish La Liga,ESP
12204313,Spanish Segunda Division,ESP
2608550,Specials,International
18099,Swedish Cup,SWE
133,Swiss Super League,CHE
4608858,Thai League 2,THA
10533800,Turkish Cup,TUR
194215,Turkish Super League,TUR
228,UEFA Champions League,International
12375833,UEFA Europa Conference League,International
2005,UEFA Europa League,International
141,US MLS,USA
12216637,US United Soccer League,USA
7247362,Ugandan Premier League,UGA
300965,Ukrainian Cup,UKR
843454,Uruguayan Primera Division,URY
252549,Welsh Premiership,GBR
