Search Term,Betfair Event Name
Burgos,Burgos v Mirandes
Malaga,Malaga v Valladolid
Elche,Villarreal v Elche
Valladolid,Malaga v Valladolid
Espanyol,Espanyol v Oviedo
Mallorca,Osasuna v Mallorca
Girona,Levante v Girona
Alcorcon,ASD Alcione v Giana Erminio
Leganes,Sporting Gijon v Leganes
Leganes,Leganes v Eibar
CD Castellon,Sociedad B v CD Castellon
Andorra CF,Cordoba v Andorra CF
Andorra CF,Andorra CF v Sporting Gijon
Cittadella,Cittadella v Inter Milan (Res)
Reggina,Reggiana v Sudtirol
Empoli,SSD Bari v Empoli
Frosinone,Frosinone v Pescara
Perugia,Greece (W) v Georgia (W)
Reggiana,Reggiana v Sudtirol
Inter,Cittadella v Inter Milan (Res)
Inter,Inter San Carlos v Quepos Cambute
Inter,DC Utd v Inter Miami CF
Inter,Como v Inter
Inter,AC Milan v Inter
Fiorentina,Udinese v Fiorentina
Fiorentina,Fiorentina v Parma
Fiorentina,Fiorentina v Rakow Czestochowa
Lecce,Lecce v US Cremonese
Spezia,Padova v Spezia
Pescara,Frosinone v Pescara
Carrarese,Carrarese v Catanzaro
Juventus,Juventus v Pisa
Juventus,Pontedera v Juventus B
Juventus,Sassuolo U20 v Juventus U20
Fluminense,Feirense v Felgueiras
Basaksehir,Basaksehir v Goztepe
Basaksehir,Basaksehir v Trabzonspor
Besiktas,Besiktas v Galatasaray
Besiktas,Besiktas v Rizespor
Hatayspor,Antalyaspor v Samsunspor
Hatayspor,Rizespor v Antalyaspor
Galatasaray,Besiktas v Galatasaray
Galatasaray,Galatasaray v Liverpool
Galatasaray,Alanyaspor v Galatasaray
Malatyaspor,Alanyaspor v Galatasaray
Fatih Karagumruk,Gaziantep FK v Fatih Karagumruk Istanbul
Incheon,Alemannia Aachen v Schweinfurt
Seongnam,Seongnam FC v Cheongju FC
Penarol,Pesaro v AC Bra
Varzim,Johor Darul Ta'zim v Hiroshima
Santa Clara,Famalicao U23 v Santa Clara U23
Arouca,Famalicao v Arouca
Casa Pia,Estoril Praia v Casa Pia
Penafiel,Enfield Town v Hampton and Richmond
Rennes,Rennes v Lille
Rennes,Nice v Rennes
Clermont,Paderborn v Braunschweig
Clermont,Nurnberg v Fortuna Dusseldorf
Clermont,German Soccer
Clermont,Freiburg v Leverkusen
Clermont,Dortmund v Augsburg
Clermont,Eintracht Frankfurt v FC Heidenheim
Clermont,RB Leipzig v Augsburg
Clermont,FC Koln v Dortmund
Clermont,St Pauli v Eintracht Frankfurt
Clermont,Stuttgart II v Cottbus
Clermont,FC Heidenheim v Hoffenheim
Clermont,1860 Munich v Erzgebirge
Clermont,Werder Bremen v Mainz
Clermont,Bochum v Kaiserslautern
Clermont,VfL Osnabruck v Viktoria Koln
Clermont,Mgladbach v St Pauli
Clermont,Verl v Jahn Regensburg
Clermont,Leverkusen v Bayern Munich
Clermont,Union Berlin v Werder Bremen
Clermont,Bayern Munich v Mgladbach
Clermont,Rot-Weiss Essen v Waldhof Mannheim
Clermont,SSV Ulm v Hoffenheim II
Clermont,Schalke 04 v Arminia Bielefeld
Clermont,Saarbrucken v Wehen Wiesbaden
Clermont,Alemannia Aachen v Schweinfurt
Clermont,Mainz v Stuttgart
Clermont,Hoffenheim v Wolfsburg
Clermont,Karlsruhe v Dynamo Dresden
Clermont,Hamburger SV v FC Koln
Clermont,Ingolstadt v Duisburg
Clermont,Wolfsburg v Hamburger SV
Clermont,SV Darmstadt v Holstein Kiel
Clermont,Hannover v Greuther Furth
Clermont,Stuttgart v RB Leipzig
Clermont,Preussen Munster v Hertha Berlin
Clermont,Freiburg v Union Berlin
Clermont,Elversberg v FC Magdeburg
Clermont,German Bundesliga
Clermont,TSV Havelse v Hansa Rostock
Clermont,Hamburger SV v Leverkusen
Nice,Lorient v Nice
Nice,Angers v Nice
Nice,Nice v Rennes
